file	tstamp	developer	version	lines_add	lines_del	description
/cvsroot/junit/junit/README.html	2004-11-17 23:07:28.0	egamma	1.10	660	527	updated for 3.8.2
/cvsroot/junit/junit/README.html	2002-09-01 00:29:52.0	egamma	1.9	8	2	fix for 602948 Swing UI: NoSuchMethodError on JDK 1.3
/cvsroot/junit/junit/README.html	2002-08-31 18:44:09.0	egamma	1.8	14	3	backed out calling setContextClassLoader on the test thread
/cvsroot/junit/junit/README.html	2002-08-23 20:43:51.0	egamma	1.7	128	8	3.8 clean-up
/cvsroot/junit/junit/README.html	2001-05-21 21:50:15.0	egamma	1.6	67	5	changes for 3.7
/cvsroot/junit/junit/README.html	2001-04-08 02:18:42.0	egamma	1.5	74	248	Update documentation.Added a SplitPane to the JUnit TestRunner.
/cvsroot/junit/junit/README.html	2001-04-01 23:22:15.0	egamma	1.4	20	6	Add a checkbox to UI test runner so that user can switchbetween the standard and loading testcase class loader.[ #229753 ] assertEquals on NaN and Infinity does not work correctly[ #229287 ] Class Name too long &quot;SimpleClassPathTestCollector&quot;[ #229609 ] Stack Filtering missing in textui.TesRunner[ #229753 ] assertEquals on NaN and Infinity does not work correctly.[ #229870 ] Clicking on ... after tests failed gives NPE[ #229974 ] Incorrect icon shown for first element in Swing GUI[ #230581 ] swingui.TestTreeModel: results of decorated testcases...[ #230971 ] Make junit.extensions.TestDecorator.getTest() public[ #231569 ] DocBug: JUnit Test Infected: Programmers Love Writing Tests[ #232645 ] BaseTestRunner.getTest loses exception information[ #233094 ] TestSuite masks exceptions[ #410967 ] No icon provided for first test[ #230745 ] ClassPathTestCollector sometimes lists classes in duplicate
/cvsroot/junit/junit/README.html	2001-01-17 01:02:18.0	egamma	1.3	9	7	Added missing invokeLater calls for the Swing TestRunnerChanged the default test collector to the simple test collector.
/cvsroot/junit/junit/README.html	2001-01-10 00:39:50.0	egamma	1.2	148	10	JUnit 3.5 candidate
/cvsroot/junit/junit/README.html	2000-12-03 15:36:14.0	egamma	1.1	0	0	branches:  1.1.1;Initial revision
/cvsroot/junit/junit/README.html	2000-12-03 15:36:14.0	egamma	1.1.1.1	0	0	Initial Checkin
/cvsroot/junit/junit/build.xml	2004-11-17 23:47:23.0	egamma	1.13	2	0	run awtui and swingui with -noload
/cvsroot/junit/junit/build.xml	2004-11-13 01:33:00.0	egamma	1.12	3	3	update script to not include settings and style sheet in the src.jar
/cvsroot/junit/junit/build.xml	2002-08-31 18:44:09.0	egamma	1.11	1	1	backed out calling setContextClassLoader on the test thread
/cvsroot/junit/junit/build.xml	2002-08-23 20:43:51.0	egamma	1.10	4	3	3.8 clean-up
/cvsroot/junit/junit/build.xml	2002-02-14 21:58:36.0	emeade	1.9	1	0	Added JUnit.org stylesheet and modified build to use it.
/cvsroot/junit/junit/build.xml	2002-02-07 00:43:07.0	emeade	1.8	2	0	Added build.compiler property and properties file to allow the compilerto be set to jikes so CruiseControl works.
/cvsroot/junit/junit/build.xml	2002-02-06 22:12:01.0	emeade	1.7	15	22	Close bug #496521, thanks Scott Stirling.
/cvsroot/junit/junit/build.xml	2002-02-06 21:42:19.0	emeade	1.6	20	4	Close bug #496519, thanks to Scott Stirling.  Added a clean target, fixedthe hardcoded values in the zip target by making the target dependent onthe init target.
/cvsroot/junit/junit/build.xml	2001-05-21 21:50:15.0	egamma	1.5	1	1	changes for 3.7
